y,Authors (year),Authors complete,Title,Journal/ Conference proceedings,Publication year,Publisher,NLP technology / approach,TA technique coding,Data source,Data source coding,Functionality,Functionality coding,Public service value,Public service value coding,Public value_specified,Public value_specified coding,Co-creation phase,Co-creation phase coding,Co-creation mechanism,Co-creation mechanism coding,Public service,Problem addressed,Public service_specified,Public service coding,Benefit,Country beneficiary,Research method,Stakeholders,,,,,
P30,Makasi et al. (2022),"Makasi, Tendai; Nili, Alireza; Desouza, Kevin C.; Tate, Mary",A typology of chatbots in public service delivery,IEEE Software,2022,IEEE,Chatbot,TA2. Chatbot,Research papers,DS7. Research papers,"Question answering; service triage (first service delivery sophistication level, understanding a citizen request and identifying the appropriate service(s) based on rules); service information gathering and analysis (accessing and collecting data from multiple sources to personalize an individual’s service experience); service negotiation (recommending service offerings that match an applicant’s circumstances and service needs)",F3. Question answering,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,less government expenditure; less human resources; increased efficiency; cost effective digitalization; better contact with public administration; enhance the use of digitalization and new business models; time saving for the authorities and businesses;personalized public service; single line of communication; happier customer; better services due to quality standards; personalized service delivery; increase in number of services delivered; reduction of administrative burden; transparency,EV6. Less government expenditure; EV5. Less human resources; EV1. Increased efficiency; EV7. Cost-effective digitalization; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models and new business models; EV2. Time-saving for the authorities and businesses and businesses; CV6. Personalized service delivery; AV2. Single line of communication; SV1. Satisfied public service user; CV3. Better services due to quality standards; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden; CV1. Transparency,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Generic,Effective chatbot-mediated service delivery,generic (civic public services),Generic,Improving public service delivery,n.a.,qualitative; exploratory; conceptual modeling,citizens; government agencies,,,,,
P31,Grace and Sinor (2021),"Grace, Rob; Sinor, Sierra",How to text 911: A content analysis of text-To-911 public education information,"Proceedings of the 39th ACM International Conference on the Design of Communication: Building Coalitions. Worldwide, SIGDOC 2021",2021,ACM,Content analysis,TA6. Content analysis,Government websites,DS4. Government website/platform,Content analysis;,F7. Information retrieval assistance,"economic value; citizen value
",EV. Economic value; CV. Citizen value,increased efficiency; better services due to quality standards; transparency,EV1. Increased efficiency; CV3. Better services due to quality standards; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Education; Safety,Communicating information to public regarding emergency management and risks,Education; Safety,PS6. Education,Improving emergency and risk management,Texas/USA,quantitative; secondary data;,citizens; government agencies,,,,,
P32,Vinogradovet al. (2019),"Vinogradov, Andrei; Kurshev, Evgeny; Vlasova, Natalia; Podobryaev, Alexey",Information extraction tasks in public administration domain ISIDA-T natural language processing system,ACM International Conference Proceeding Series,2019,ACM,NLP software; NER; events extraction; relations of the events extraction; situations extraction; visualization of results,TA8. Information extraction,Social Media (news),DS2. Social media,Automation of content analysis and extraction; social media analysis,F1. Automatic content analysis and extraction,economic value; citizen value,EV. Economic value; CV. Citizen value,increased efficiency; transparency,EV1. Increased efficiency; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Politics,Processing of large amount of textual data and extracting informative insights,Politics,PS7. Politics,Extracting information from documents,Russia,qualitative; prototyping,government agencies; technology companies;,,,,,
P33,"Budiharto, Andreas, and Gunawan (2021)","Budiharto, Widodo; Andreas, Vincent; Gunawan, Alexander Agung Santoso",A novel model and implementation of humanoid robot with facial expression and natural language processing (NLP),"ICIC Express Letters, Part B: Applications",2021,ICIC International,NLP; humanoid robot,TA9. Humanoid robots,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,better contact with public administration; happier customer; reduction of administrative burden;,EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,"Humanoid robots answering questions and communicating with citizens in universities, public services",generic (civic public services),PS6. Education,Humanoid robot-assisted service,Indonesia,qualitative; prototyping,citizens; government agencies; technology companies; private sector companies; academic institutions,,,,,
P34,Miranda and Bringula (2021),"Miranda, John Paul P.; Bringula, Rex P.",Exploring Philippine presidents' speeches: A sentiment analysis and topic modeling approach,Cogent Social Sciences,2021,Taylor & Francis,Sentiment; topic modeling,TA3. Sentiment analysis; TA4. Topic modeling,Social Media (news),DS2. Social media,Automation of content analysis and extraction; identification of sentiments and emergent topics in president annual speeches,F1. Automatic content analysis and extraction; F2. Patterns identification,economic value; citizen value,EV. Economic value; CV. Citizen value,time saving for the authorities; transparency,EV2. Time-saving for the authorities and businesses; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Politics,Extracting insights from and usefulness of the annual obligatory and traditional president speeches,Politics,PS7. Politics,Analyzing usefulness of annual president speeches,Philippine,qualitative; exploratory; secondary data,citizens; government agencies;,,,,,
P35,"Das, Panda, and Dash (2020)","Das, Rama Krushna; Panda, Manisha; Dash, Sweta Shree",Prioritizing public grievance redressal using text mining and sentimental analysis,Advances in Intelligent Systems and Computing,2020,Springer,Sentiment; text mining,TA1. Machine learning; TA3. Sentiment analysis,User complaint,DS6. User complaint/request,Automation of content analysis and extraction; prioritization of complaints,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion; F6. Prioritizing user requests/complaints/ opinion,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; time saving for the authorities; happier customer; transparency,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV1. Transparency,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Generic,Prioritizing the citizen grievances by the ministry,generic (civic public services),Generic,Processing citizens' complaints,India,quantitative; secondary data,citizens; government agencies;,,,,,
P36,Zainol et al. (2021),"Zainol, Zuraini; Nohuddin, Puteri N.E.; Lee, Angela Siew Hoong; Ibrahim, Noor Farizah; Yee, Lu How; Majid, Khairani Abd",Analysing political candidates' popularity on social media using POPularity MONitoring (POPMON),SEARCH Journal of Media and Communication Research,2021,Taylor’s Press,Sentiment; Naive Bayes,TA1. Machine learning; TA3. Sentiment analysis,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction; social media analysis,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; citizen value,EV. Economic value; CV. Citizen value,time saving for the authorities; transparency,EV2. Time-saving for the authorities and businesses; CV1. Transparency,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Open book government,M1_2. Informing; M3_2. Participatory open data,Politics,"Assisting politicians in improving their public service, assist political parties and their leaders on planning publicity campaigns and predicting the outcomes of future elections",Politics,PS7. Politics,Assisting politicians on planning publicity campaigns and predicting the elections outcomes,USA,quantitative; secondary data,citizens; government agencies;,,,,,
P37,Avgerinos et al. (2021),"Avgerinos Loutsaris, Michalis; Lachana, Zoi; Alexopoulos, Charalampos; Charalabidis, Yannis",Legal text processing: Combing two legal ontological approaches through text mining,ACM International Conference Proceeding Series,2021,ACM,Ontologies; text mining; expert systems,TA1. Machine learning; TA5. Semantic Web and Linked Data,Government database,DS5. Government database/OGD,Question answering; expert systems,F3. Question answering; F7. Information retrieval assistance,economic value; administrative value,EV. Economic value; AV. Administrative value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design; co-delivery,P1. Co-design; P2. Co-delivery,Informing; crowd-sourcing,M1_2. Informing; M2_1. Crowdsourcing,Legal,"Interoperability of EU legal systems, developing an open and automated legal system capable of providing any EU country's legal information based on the existing ontologies.",justice,PS2. Justice,Interoperability of EU legal systems,"Greece, Austria",qualitative; prototyping; secondary data,citizens; government agencies;,,,,,
P38,Vasconcelos (2020),"Vasconcelos, Anselmo Ferreira",Analyzing the effects of incivility beyond workplaces,International Journal of Organizational Analysis,2020,Emerald,Thematic analysis,TA6. Content analysis,Social Media (news),DS2. Social media,Content analysis;,F7. Information retrieval assistance,societal value; citizen value,EV. Economic value; CV. Citizen value,increase trust in the public sector; transparency,SV2. Increase trust in public service; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Politics,Analyzing the effects of public strike and its consequences based on the theoretical foundations,"career, Policy making",PS4. Policy-making,Analyzing the effects of public strike and its consequences,Brazil,qualitative; exploratory; secondary data,citizens; government agencies;,,,,,
P39,"Reddick, Chatfield, and Ojo (2017)","Reddick, Christopher G.; Chatfield, Akemi Takeoka; Ojo, Adegboyega",A social media text analytics framework for double-loop learning for citizen-centric public services: A case study of a local government Facebook use,Government Information Quarterly,2017,Elsevier,Entity extraction; keyword extraction; topic modelling; content analysis,TA8. Information extraction; TA4. Topic modeling,Social Media (Facebook),DS2. Social media,Automation of content analysis and extraction; social media analysis,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Consulting & ideation; Informing; Citizen reporting,M1_1. Consultation and ideation; M1_2. Informing; M3_1. Citizen reporting,Generic,Increasing citizen-centric public service quality,utilities (waste),PS12. Utilities (waste),Improving public services,n.a.,quantitative; secondary data; conceptual modeling,citizens; government agencies;,,,,,
P40,"Hristova, Bogdanova, and Netov (2022)","Hristova, Gloria; Bogdanova, Boiyaiia; Netov, Nikolay",Design of ML-based AI System for mining public opinion on e-government services in Bulgaria,AIP Conference Proceedings,2022,American Institute of Physics,Sentiment,TA3. Sentiment analysis,Social Media,DS2. Social media,Automation of content analysis and extraction; social media analysis,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user;,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,eGovernment,Improving e-government / digital public services,generic (civic public services),Generic,Improving public services,Bulgaria,qualitative; prototyping; secondary data,citizens; government agencies;,,,,,
P41,Antoniadis and Tambouris (2021),"Antoniadis, Panteleimon; Tambouris, Efthimios",PassBot: A chatbot for providing information on getting a Greek passport,ACM International Conference Proceeding Series,2021,ACM,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,better contact with public administration; happier customer; reduction of administrative burden;,EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,Assisting citizens in getting a passport,family,PS5. Family,Assisting citizens in getting a passport,Greece,qualitative; prototyping; case study; secondary data,citizens; government agencies;,,,,,
P42,Santos et al. (2015),"Santos, Breno; Colaço, Methanias; Paixão, Bruno da; Santos, Rafael; Nascimento, André Vinicius; Santos, Hallan dos; Filho, Wallace; Medeiros, Arquimedes de",Comparing Text Mining algorithms for predicting irregularities in public accounts,Proceedings of the XI Brazilian Symposium on Information Systems,2015,AIS,Text classification; Naive Bayes,TA1. Machine learning,Government database,DS5. Government database/OGD,Automation of content analysis and extraction; exploration of large data volumes,F1. Automatic content analysis and extraction,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; enhance the use of digitalization; time saving for the authorities; happier customer; better services;,EV1. Increased efficiency; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; better services;,Co-design,P1. Co-design,Informing,M1_2. Informing,Generic,"Predicting irregularities in the public sector records, e.g. reimbursement policies",Audit,PS14. Audit,"Predicting irregularities in the public sector records, e.g. reimbursement policies",Brazil,qualitative; prototyping; case study; secondary data,government agencies;,,,,,
P43,Vassilakopoulou et al. (2022),"Vassilakopoulou, Polyxeni; Haug, Arve; Salvesen, Leif Martin; O. Pappas, Ilias",Developing human/AI interactions for chat-based customer services: lessons learned from the Norwegian government,European Journal of Information Systems,2022,Taylor & Francis,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering; routing to relevant service agents; searching in organisation´s knowledge base; collecting key information from citizens; providing pointers to relevant information sources; presenting multiple different conversations; organising responses to different threads; summarising conversations with the citizens,F3. Question answering,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,less human resources; increased efficiency; cost effective digitalization; better contact with public administration; enhance the use of digitalization; time saving for the authorities; single line of communication; happier customer; better services; increase in number of services delivered; reduction of administrative burden; transparency,EV5. Less human resources; EV1. Increased efficiency; EV7. Cost-effective digitalization; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; AV2. Single line of communication; SV1. Satisfied public service user; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden; CV1. Transparency,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Consulting & ideation; Informing; Citizen reporting,M1_1. Consultation and ideation; M1_2. Informing; M3_1. Citizen reporting,Generic,"Smartification of public services via the use of chatbots, improving the services offered by chatbots to citizens",generic (civic public services),Generic,Improving public services with chatbots,Norway,qualitative; case study; secondary data,citizens; government agencies;,,,,,
P44,Magnini et al. (2000),"Magnini, Bernardo; Not, Elena; Stock, Oliviero; Strapparava, Carlo",Natural language processing for transparent communication between public administration and citizens,Artificial Intelligence and Law,2000,Springer,Dialogue systems; multilingual NL generation,TA2. Chatbot; TA10. Multilingual solutions,User generated (text or speech),DS1. User generated (text or speech),Automatic multilingual generation of instructional texts for form-filling; interactive access to information to be used by the clerk and citizen,F1. Automatic content analysis and extraction; F10. Multilingual support,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; reduction of administrative burden; transparency,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV2. Reduction of administrative burden; CV1. Transparency,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Generic,Supporting citizens filling in forms in public services,generic (civic public services),Generic,Improving public services with chatbots,"Italy, UK, Spain",qualitative; case study;,citizens; government agencies;,,,,,
P45,Zhou et al. (2022),"Zhou, Lingyi; Dai, Dingzhang; Ren, Junxia; Chen, Xiaoxu; Chen, Siming",What is policy content and how is the public's policy support? A policy cognition study based on natural language processing and social psychology,Frontiers in Psychology,2022,Frontiers Media S.A.,Text classification; information retrieval,TA1. Machine learning,Government database (policy documents),DS5. Government database/OGD,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value;,EV. Economic value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Citizen reporting,M1_2. Informing; M3_1. Citizen reporting,Policy making,"Improving the content of public policies and its cognition by citizens, improving the policy-making process by practitioners -> investigation of the public’s policy cognition from the objective aspect of policy content and the subjective aspect of target audience’s policy support",policy-making,PS4. Policy-making,Improving the policy-making process,China,quantitative; questionnaire,government agencies,,,,,
P46,Lachana et al. (2021),"Lachana, Zoi; Loutsaris, Michalis Avgerinos; Alexopoulos, Charalampos; Charalabidis, Yannis",Clustering legal artifacts using text mining,ACM International Conference Proceeding Series,2021,ACM,Ontologies; text mining; expert systems; topic modeling; word frequencies; n-grams; TF-IDF; key word extraction; entity extraction; sentiment,TA1. Machine learning; TA3. Sentiment analysis; TA4. Topic modeling; TA5. Semantic Web and Linked Data; TA8. Information extraction;,Government database,DS5. Government database/OGD,Question answering; expert systems,F3. Question answering; F7. Information retrieval assistance,economic value;,EV. Economic value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design,P1. Co-design,Informing,M1_2. Informing,Legal,Developing an open and automated legal system capable of providing any EU country’s legal information based on the existing ontologies,justice,PS2. Justice,Interoperability of EU legal systems,"EU, Greece",qualitative; conceptual modeling,government agencies,,,,,
P47,Mariani et al. (2023),"Mariani, Ilaria; Karimi, Maryam; Concilio, Grazia; Rizzo, Giuseppe; Benincasa, Alberto","Improving public services accessibility through Natural Language Processing: challenges, opportunities and obstacles",Lecture Notes in Networks and Systems,2023,Springer,NLP; NLU,all (review paper),User generated (text or speech),DS1. User generated (text or speech),Automation of content analysis and extraction; search,F1. Automatic content analysis and extraction,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; better access and understandability of services; enhance the use of digitalization; time saving for the authorities; happier customer; transparency,EV1. Increased efficiency; EV3. Easier to contact with public service; CV5. Better access and understandability of services; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV1. Transparency,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Generic,Improving the understanding of service procedures and the experience for the public service users,generic (civic public services),Generic,Improving customer satisfaction,EU,qualitative; exploratory; literature review,citizens; government agencies;,,,,,
P48,Jastrzȩbska and Homenda (2021),"Jastrzȩbska, Agnieszka; Homenda, Władysław",Text-based delay prediction in a public transport monitoring system,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,2021,ACM,NER; Temporal Expression Recognition; TF-IDF,TA8. Information extraction,Free-text feedback,DS2. Social media,Transport delay prediction,F9. Prediction of user satisfaction and behavior,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better services; happier customer; transparency,EV1. Increased efficiency; SV1. Satisfied public service user; CV1. Transparency,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Transport,Delay prediction in a public transport monitoring system,transport,PS3. Transport,Improving transportation,Warsaw/ Poland,quantitative; secondary data,citizens; government agencies;,,,,,
P49,Lee et al. (2021),"Lee, Hong Joo; Lee, Minsik; Lee, Habin; Cruz, Ruth Angelie",Mining service quality feedback from social media: A computational analytics method,Government Information Quarterly,2021,Elsevier,Topic modelling; LDA; sentiment,TA3. Sentiment analysis; TA4. Topic modeling,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; time saving for the authorities; happier customer;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user;,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Health; Policy making,Identifying sentiments and tracking perceived service quality of healthcare services for policy makers,health,PS1. Health; PS4. Policy-making,Improving health services,UK,quantitative; secondary data,citizens; government agencies;,,,,,
P50,Walker et al. (2022),"Walker, Daniel; Ruane, Martin; Bacardit, Jaume; Coleman, Shirley",Insight from data analytics in a facilities management company,Quality and Reliability Engineering International,2022,Wiley,Text classification,TA1. Machine learning,User request,DS6. User complaint/request,Automation of content analysis and extraction; automatically raising work orders from help desk emails,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion; F7. Information retrieval assistance,economic value; societal value;,EV. Economic value; SV. Societal value;,increased efficiency; time saving for the authorities; happier customer;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Facility management,Improving facilities management of large public services -> using natural language processing for automatically raising work orders from help desk emails,facilities management,PS13. Facilities management,Improving facilities management of large public services,UK,qualitative; case study,private sector companies; government agencies,,,,,
P51,"Patsoulis, Promikyridis, and Tambouris (2021)","Patsoulis, Georgios; Promikyridis, Rafail; Tambouris, Efthimios",Integration of chatbots with Knowledge Graphs in eGovernment: The case of getting a passport,ACM International Conference Proceeding Series,2021,ACM,Chatbots; knowledge graph,TA2. Chatbot; TA5. Semantic Web and Linked Data,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,Assisting citizens in getting a passport,family,PS5. Family,Assisting citizens in getting a passport,Greece,qualitative; conceptual modeling; prototyping; case study; secondary data,citizens; government agencies;,,,,,
P52,Muguro et al. (2022),"Muguro, Joseph; Njeri, Waweru; Matsushita, Kojiro; Sasaki, Minoru",Road traffic conditions in Kenya: Exploring the policies and traffic cultures from unstructured user-generated data using NLP,IATSS Research,2022,Elsevier,Topic modelling; n-grams,TA4. Topic modeling,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better services; happier customer; transparency,EV1. Increased efficiency; SV1. Satisfied public service user; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Transport/traffic,Improving road safety,transport,PS3. Transport,Improving transportation safety,Kenya/ Afrika,quantitative; secondary data,citizens; government agencies;,,,,,
P53,Righettini and Ibba (2022),"Righettini, Maria Stella; Ibba, Monica",Cultural heritage digitalisation policy as a co-creation of public value. Evaluation of the participatory digital public service of Uffizi galleries in Italy during the COVID-19,Lecture Notes in Networks and Systems,2022,Springer,Topic modelling; sentiment,TA3. Sentiment analysis; TA4. Topic modeling,Social Media (Facebook),DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Culture,"Evaluation of the public value created through the cultural heritage digitalisation policy, enabling the possible future successful transfer of cultural heritage digitalisation programs",culture,PS9. Culture,Evaluating cultural heritage digitalisation policy,Italy,qualitative; case study,citizens; government agencies; private sector companies; non-profit organizations; technology companies,,,,,
P54,Van den Bogaert et al. (2022),"Van den Bogaert, Joachim; Meeus, Laurens; Kramchaninova, Alina; Defauw, Arne; Szoc, Sara; Everaert, Frederic; Van Winckel, Koen; Bardadym, Anna; Vanallemeersch, Tom",Automatically extracting the semantic network out of public services to support cities becoming smart cities,EAMT 2022 - Proceedings of the 23rd Annual Conference of the European Association for Machine Translation,2022,European Association for Machine Translation,Semantic networks; machine translation; chatbot,TA2. Chatbot; TA5. Semantic Web and Linked Data; TA10. Multilingual solutions,User generated (text or speech),DS1. User generated (text or speech),Multiple language support in accessing public services,F10. Multilingual support,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; happier customer; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,Multilingual semantic interoperability layer for smart cities that allows users from all EU member states to interact with public services in their own language,generic (civic public services),Generic,Multilingual support,"Croatia, Danemark, UK, France, Germany, Italy, and Norway",quantitative; secondary data,citizens; government agencies; technology companies; private sector companies; non-profit organizations,,,,,
P55,Damij and Bhattacharya (2022),"Damij, Nadja; Bhattacharya, Suman",The role of AI chatbots in mental health related public services in a (post)pandemic world: A review and future research agenda,"2022 IEEE Technology and Engineering Management Conference: Societal Challenges: Technology, Transitions and Resilience Virtual Conference, TEMSCON EUROPE 2022",2022,IEEE,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering; mental health improvement,F3. Question answering,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Health,Using chatbots as extenders of public services to support mental health in pandemic times,health,PS1. Health,Improving mental health,n.a.,qualitative; exploratory; literature review,citizens; government agencies; academic institutions; NLP experts,,,,,
P56,Gyllenhammar and Hammersberg (2022),"Gyllenhammar, Daniel; Hammersberg, Peter",How to facilitate improvements in public service systems: propositions for action,International Journal of Quality and Reliability Management,2022,Emerald,LSA; bag of words; document term matrix,TA1. Machine learning,Open-ended question survey,DS3. Open-ended question survey,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Health,Facilitating improvements in public service systems,"health, career",PS1. Health,Improving public services with chatbots,Sweden,quantitative; questionnaire,citizens; government agencies,,,,,
P57,Agarwal and Sureka (2017),"Agarwal, Swati; Sureka, Ashish",Investigating the role of twitter in e-governance by extracting information on citizen complaints and grievances reports,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017,Springer,Text classification; CoreNLP; POS Tagging; ConceptNet,TA1. Machine learning;,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction; identification of complaints; prioritization of complaints,F1. Automatic content analysis and extraction; F2. Patterns identification; F6. Prioritizing user requests/complaints/ opinion,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; time saving for the authorities; happier customer; transparency,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV1. Transparency,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Generic,Developing a solution to automatically resolve the challenges of manual inspection of citizens' complaints in social media,generic (civic public services),Generic,Processing citizens' complaints,India,quantitative; secondary data,citizens; government agencies,,,,,
P58,"Mrsic, Mesic, and Balkovic (2020)","Mrsic, Leo; Mesic, Tomislav; Balkovic, Mislav",Cognitive services applied as student support service chatbot for educational institution,Advances in Intelligent Systems and Computing,2020,Springer,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Education,Student support service,studying,PS6. Education,Improving public services with chatbots,n.a.,qualitative; prototyping; secodary data,citizens; academic institutions; technology companies,,,,,
